Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto
TECUN UMAN,22/04/2024,8703249910,2003,TOYOTA,4RUNNER SR5 SPORT 4X2,4700.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,23124.59,2774.95,
EL CARMEN,22/04/2024,8703236991,2011,HYUNDAI,ELANTRA GLS,1800.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,13604.07,1632.49,
EL CARMEN,22/04/2024,8704315100,2021,TOYOTA,TACOMA SR5 DOUBLE CAB 4X4,3500.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,5,4,1.0,141003.21,16920.39,
EL CARMEN,22/04/2024,8703237911,2007,HONDA,CR-V LX 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,16559.79,1987.17,
EL CARMEN,22/04/2024,8703226991,2007,TOYOTA,YARIS,1500.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,15743.08,1889.17,
EL CARMEN,23/04/2024,8704315100,2006,TOYOTA,TACOMA ACCESS CAB SR5 4WD,4000.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,4,1.0,49664.82,5959.78,
EL CARMEN,22/04/2024,8703237911,2009,TOYOTA,RAV4 4WD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,26982.58,3237.91,
EL CARMEN,23/04/2024,8703237991,2010,HONDA,CR-V EX 2WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,33516.26,4021.95,
EL CARMEN,23/04/2024,8703236991,2017,HONDA,CIVIC LX,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,22307.88,2676.95,
EL CARMEN,22/04/2024,8703247000,2002,TOYOTA,4RUNNER SR5 4WD,3400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,18574.34,2228.92,
EL CARMEN,22/04/2024,8703237911,2013,TOYOTA,RAV4 LE AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,23046.81,2765.62,
TECUN UMAN,22/04/2024,8703237911,2022,MAZDA,CX-5 PREFERRED AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,49025.99,5883.12,
EL CARMEN,23/04/2024,8702107000,2011,CHEVROLET,EXPRESS G3500,6600.0,PESADO,BUS,OCASIONAL,DIESEL,20,3,2.0,29689.39,3562.73,
EL CARMEN,23/04/2024,8703236911,2003,TOYOTA,RAV4 4WD,2000.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,21296.71,2555.61,
EL CARMEN,23/04/2024,8703249190,2010,HONDA,PILOT EX-L 4WD,3500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,8,4,0.0,19352.16,2322.26,
TECUN UMAN,22/04/2024,8703248000,2022,HONDA,ODYSSEY EX,3500.0,LIVIANO,MICROBUS,OCASIONAL,GASOLINA,8,4,0.0,90911.6,10909.39,
TECUN UMAN,22/04/2024,8703236991,2013,KIA,RIO 5 EX,1600.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,16046.43,1925.57,
TECUN UMAN,22/04/2024,8703237911,2021,TOYOTA,RAV4 LE AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,71971.68,8636.6,
TECUN UMAN,22/04/2024,8703237991,2018,TOYOTA,RAV4 XLE 2WD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,57309.78,6877.17,
EL CARMEN,27/04/2024,8704315100,2002,TOYOTA,TACOMA XTRA CAB 4X2,2400.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1.0,43645.59,5237.47,
EL CARMEN,27/04/2024,8703237991,2017,TOYOTA,RAV4 LE 2WD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,59707.2,7164.86,
EL CARMEN,27/04/2024,8703236991,2012,MITSUBISHI,LANCER ES,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,20786.32,2494.36,
TECUN UMAN,27/04/2024,8703236991,2014,MAZDA,MAZDA3 i SPORT,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,13950.86,1674.1,
TECUN UMAN,27/04/2024,8704315100,1992,TOYOTA,DLX XTRA CAB 4X4,2400.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1.0,22396.03,2687.52,
SANTO TOMAS DE CASTILLA,27/04/2024,8703236991,2017,MITSUBISHI,LANCER ES,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,12560.13,1507.22,
SANTO TOMAS DE CASTILLA,27/04/2024,8703236991,2016,MITSUBISHI,LANCER ES,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,14543.27,1745.19,
